proof	cbmc_time_s	wall_s	status
proof_v16_active_bitmap_set_get_count_is_exact_and_bounds_checked	0.22095917	3	PASS
proof_v16_adjust_u128_applies_exact_delta_or_fails_closed	1.0229188	4	PASS
proof_v16_asset_recovery_transition_freezes_price_and_bumps_once	0.5029496	3	PASS
proof_v16_asset_recovery_transition_is_idempotent_after_recovery	0.16444276	3	PASS
proof_v16_available_source_support_excludes_liened_and_encumbered_amounts	0.47998196	3	PASS
proof_v16_backing_domain_fee_split_for_lien_delta_is_exact_and_conservative	21.164898	24	PASS
proof_v16_backing_provider_earnings_credit_requires_vault_slack	2.168938	5	PASS
proof_v16_backing_provider_earnings_withdraw_cannot_exceed_earnings	2.1695302	4	PASS
proof_v16_backing_utilization_collection_cap_charge_conserves_senior_value	101.26183	105	PASS
proof_v16_backing_utilization_collection_first_touch_initializes_cursor_without_value_move	27.974113	31	PASS
proof_v16_backing_utilization_collection_full_charge_conserves_senior_value	103.5733	107	PASS
proof_v16_backing_utilization_collection_negative_pnl_never_draws_capital	81.15205	84	PASS
proof_v16_backing_utilization_fee_is_capped_by_capital_and_conserves_ctot_to_earnings	1.9927721	5	PASS
proof_v16_backing_utilization_fee_never_charges_negative_pnl_account	0.27035496	3	PASS
proof_v16_backing_utilization_fee_quote_atoms_is_exact_floor_and_time_bounded	35.974766	39	PASS
proof_v16_backing_utilization_rate_above_kink_matches_exact_schedule	20.381115	24	PASS
proof_v16_backing_utilization_rate_below_kink_matches_exact_schedule	39.192528	42	PASS
proof_v16_backing_utilization_rate_zero_and_invalid_source_branches_are_exact	5.297783	11	PASS
proof_v16_bankruptcy_hlock_selects_hmax_before_source_backed_value_exit	51.939747	56	PASS
proof_v16_bankruptcy_residual_capacity_is_nonzero_and_bounded_with_headroom	39.366734	44	PASS
proof_v16_batch_outcome_accumulator_is_exact_and_overflow_checked	0.43432182	3	PASS
proof_v16_canonical_retired_asset_slot_preserves_identity_and_clears_local_ledgers	3.239255	6	PASS
proof_v16_capital_backed_loss_reservation_is_value_neutral_and_capital_capped	171.43018	177	PASS
proof_v16_ceil_div_positive_checked_matches_small_reference	1.1766458	3	PASS
proof_v16_checked_trade_fee_is_ceil_bps_and_never_exceeds_notional	10.31362	14	PASS
proof_v16_close_progress_ledger_residual_equation_is_enforced	137.30038	142	PASS
proof_v16_counterparty_backing_add_delta_refills_or_rejects_by_bucket_state	0.5369378	4	PASS
proof_v16_counterparty_backing_withdraw_cannot_underback_claims	60.46709	63	PASS
proof_v16_counterparty_backing_withdraw_delta_debits_only_unliened_backing	20.731325	24	PASS
proof_v16_counterparty_backing_withdraw_delta_status_transitions_are_exact	0.60029876	3	PASS
proof_v16_counterparty_credit_consumption_reports_atoms_not_scaled_backing	22.903397	26	PASS
proof_v16_counterparty_lien_consume_delta_is_receivable_exact_and_fail_closed	0.70212436	3	PASS
proof_v16_counterparty_lien_create_delta_is_expiry_gated_and_exact	0.36347613	3	PASS
proof_v16_counterparty_source_credit_support_does_not_debit_vault_or_insurance	1.9203049	5	PASS
proof_v16_counterparty_source_credit_support_is_prebacked_by_realized_capital	3.0354147	6	PASS
proof_v16_credit_account_from_insurance_uses_only_unbudgeted_surplus	1.9405087	5	PASS
