proof	time_s	status
proof_v13_account_b_chunk_either_advances_or_fails_closed	122	PASS
proof_v13_account_equity_rejects_i128_min_persistent_pnl	1	PASS
proof_v13_attach_then_clear_leg_restores_account_local_counters_for_long	43	PASS
proof_v13_b_residual_booking_makes_durable_progress_or_fails_closed	38	PASS
proof_v13_equity_active_accrual_advances_at_most_one_bounded_segment	8	PASS
proof_v13_equity_active_accrual_requires_protective_progress	7	PASS
proof_v13_favorable_action_requires_current_full_refresh	5	PASS
proof_v13_fee_charge_settles_loss_before_fee	6	PASS
proof_v13_full_refresh_clears_stale_certificate	5	PASS
proof_v13_hidden_leg_rejected_by_bitmap_authority	2	PASS
proof_v13_hlock_allows_pure_risk_reducing_trade_with_principal_margin	106	PASS
proof_v13_hlock_is_exactly_hmin_or_hmax	3	PASS
proof_v13_hlock_rejects_risk_increasing_trade_before_mutation	10	PASS
proof_v13_hlock_withdraw_uses_no_positive_credit_lane	19	PASS
proof_v13_hmin_zero_remains_available_when_no_lock_state_exists	3	PASS
proof_v13_liquidation_progress_rejects_non_reducing_scores	8	PASS
proof_v13_loss_stale_blocks_nonflat_withdrawal	20	PASS
proof_v13_quantity_adl_preserves_oi_symmetry_after_close	16	PASS
proof_v13_side_reset_prior_epoch_account_can_clear_without_oi_underflow	9	PASS
proof_v13_stale_counter_transitions_are_idempotent	4	PASS
proof_v13_trade_dynamic_fee_cap_is_enforced_before_mutation	4	PASS
